#ID,,Make,Model,Bodywork,Operator,Chassis ID,Reg Date,Notes,Depot,Svc,Batch,Gearbox model,EDS model,Chair model,Door model,Air Con model,
2611,T,,,,,,,,,,,,,,,,
2612,R,,,,,,,,,,,,,,,,
2613,M,,,,,,,,,,,,,,,,
2614,K,,,,,,,,,,,,,,,,
2615,H,,,,,,,,,,,,,,,,
2616,E,,,,,,,,,,,,,,,,
2617,C,,,,,,,,,,,,,,,,
2618,A,,,,,,,,,,,,,,,,
2619,Y,,,,,,,,,,,,,,,,
2620,S,,,,,,,,,,,,,,,,
2621,P,,,,,,,,,,,,,,,,
2622,L,,,,,,,,,,,,,,,,
2623,J,,,,,,,,,,,,,,,,
2624,G,,,,,,,,,,,,,,,,
2625,D,,,,,,,,,,,,,,,,
2626,B,,,,,,,,,,,,,,,,
2627,Z,,,,,,,,,,,,,,,,
2628,X,,,,,,,,,,,,,,,,
2629,T,,,,,,,,,,,,,,,,
2630,M,,,,,,,,,,,,,,,,
2631,K,,,,,,,,,,,,,,,,
2632,H,,,,,,,,,,,,,,,,
2633,E,,,,,,,,,,,,,,,,
2634,C,,,,,,,,,,,,,,,,
2635,A,,,,,,,,,,,,,,,,
2636,Y,,,,,,,,,,,,,,,,
2637,U,,,,,,,,,,,,,,,,
2638,S,,,,,,,,,,,,,,,,
2639,P,,,,,,,,,,,,,,,,
2640,J,,,,,,,,,,,,,,,,
2641,G,,,,,,,,,,,,,,,,
2642,D,,,,,,,,,,,,,,,,
2643,B,,,,,,,,,,,,,,,,
2644,Z,,,,,,,,,,,,,,,,
2645,X,,,,,,,,,,,,,,,,
2646,T,,,,,,,,,,,,,,,,
2647,R,,,,,,,,,,,,,,,,
2648,M,,,,,,,,,,,,,,,,
2649,K,,,,,,,,,,,,,,,,
2650,E,,,,,,,,,,,,,,,,
2651,C,,,,,,,,,,,,,,,,
2652,A,,,,,,,,,,,,,,,,
2653,Y,,,,,,,,,,,,,,,,
2654,U,,,,,,,,,,,,,,,,
2655,S,,,,,,,,,,,,,,,,
2656,P,,,,,,,,,,,,,,,,
2657,L,,,,,,,,,,,,,,,,
2658,J,,,,,,,,,,,,,,,,
2659,G,,,,,,,,,,,,,,,,
2660,B,,,,,,,,,,,,,,,,
2661,Z,,,,,,,,,,,,,,,,
2662,X,,,,,,,,,,,,,,,,
2663,T,,,,,,,,,,,,,,,,
2664,R,,,,,,,,,,,,,,,,
2665,M,,,,,,,,,,,,,,,,
2666,K,,,,,,,,,,,,,,,,
2667,H,,,,,,,,,,,,,,,,
2668,E,,,,,,,,,,,,,,,,
2669,C,,,,,,,,,,,,,,,,
2670,Y,,,,,,,,,,,,,,,,
2671,U,,,,,,,,,,,,,,,,
2672,S,,,,,,,,,,,,,,,,
2673,P,,,,,,,,,,,,,,,,
2674,L,,,,,,,,,,,,,,,,
2675,J,,,,,,,,,,,,,,,,
2676,G,,,,,,,,,,,,,,,,
2677,D,Sunlong,SLK6121UF14H,Gemilang Coachworks,Republic Express,LJMBJCDH1AAS00547,17Jul2010,Ex SBS8000Z,,,,,,,,,
2678,B,,,,,,,,,,,,,,,,
2679,Z,,,,,,,,,,,,,,,,
2680,T,,,,,,,,,,,,,,,,
2681,R,,,,,,,,,,,,,,,,
2682,M,,,,,,,,,,,,,,,,
2683,K,,,,,,,,,,,,,,,,
2684,H,,,,,,,,,,,,,,,,
2685,E,,,,,,,,,,,,,,,,
2686,C,,,,,,,,,,,,,,,,
2687,A,,,,,,,,,,,,,,,,
2688,Y,,,,,,,,,,,,,,,,
2689,U,,,,,,,,,,,,,,,,
2690,P,,,,,,,,,,,,,,,,
2691,L,,,,,,,,,,,,,,,,
2692,J,,,,,,,,,,,,,,,,
2693,G,,,,,,,,,,,,,,,,
2694,D,,,,,,,,,,,,,,,,
2695,B,,,,,,,,,,,,,,,,
2696,Z,,,,,,,,,,,,,,,,
2697,X,,,,,,,,,,,,,,,,
2698,T,,,,,,,,,,,,,,,,
2699,R,,,,,,,,,,,,,,,,
2700,U,,,,,,,,,,,,,,,,
2701,S,,,,,,,,,,,,,,,,
2702,P,,,,,,,,,,,,,,,,
2703,L,,,,,,,,,,,,,,,,
2704,J,,,,,,,,,,,,,,,,
2705,G,,,,,,,,,,,,,,,,
2706,D,,,,,,,,,,,,,,,,
2707,B,,,,,,,,,,,,,,,,
2708,Z,,,,,,,,,,,,,,,,
2709,X,,,,,,,,,,,,,,,,
2710,R,,,,,,,,,,,,,,,,
2711,M,,,,,,,,,,,,,,,,
2712,K,,,,,,,,,,,,,,,,
2713,H,,,,,,,,,,,,,,,,
2714,E,,,,,,,,,,,,,,,,
2715,C,,,,,,,,,,,,,,,,
2716,A,,,,,,,,,,,,,,,,
2717,Y,,,,,,,,,,,,,,,,
2718,U,,,,,,,,,,,,,,,,
2719,S,,,,,,,,,,,,,,,,
2720,L,,,,,,,,,,,,,,,,
2721,J,,,,,,,,,,,,,,,,
2722,G,,,,,,,,,,,,,,,,
2723,D,,,,,,,,,,,,,,,,
2724,B,,,,,,,,,,,,,,,,
2725,Z,,,,,,,,,,,,,,,,
2726,X,,,,,,,,,,,,,,,,
2727,T,,,,,,,,,,,,,,,,
2728,R,,,,,,,,,,,,,,,,
2729,M,,,,,,,,,,,,,,,,
2730,H,,,,,,,,,,,,,,,,
2731,E,,,,,,,,,,,,,,,,
2732,C,,,,,,,,,,,,,,,,
2733,A,,,,,,,,,,,,,,,,
2734,Y,,,,,,,,,,,,,,,,
2735,U,,,,,,,,,,,,,,,,
2736,S,,,,,,,,,,,,,,,,
2737,P,,,,,,,,,,,,,,,,
2738,L,,,,,,,,,,,,,,,,
2739,J,,,,,,,,,,,,,,,,
2740,D,,,,,,,,,,,,,,,,
2741,B,,,,,,,,,,,,,,,,
2742,Z,,,,,,,,,,,,,,,,
2743,X,,,,,,,,,,,,,,,,
2744,T,Scania,KIB4X2,,,,,,,,,,,,,,
2745,R,,,,,,,,,,,,,,,,
2746,M,,,,,,,,,,,,,,,,
2747,K,,,,,,,,,,,,,,,,
2748,H,,,,,,,,,,,,,,,,
2749,E,,,,,,,,,,,,,,,,
2750,A,,,,,,,,,,,,,,,,
2751,Y,,,,,,,,,,,,,,,,
2752,U,,,,,,,,,,,,,,,,
2753,S,,,,,,,,,,,,,,,,
2754,P,,,,,,,,,,,,,,,,
2755,L,,,,,,,,,,,,,,,,
2756,J,,,,,,,,,,,,,,,,
2757,G,,,,,,,,,,,,,,,,
2758,D,,,,,,,,,,,,,,,,
2759,B,,,,,,,,,,,,,,,,
2760,X,,,,,,,,,,,,,,,,
2761,T,,,,,,,,,,,,,,,,
2762,R,,,,,,,,,,,,,,,,
2763,M,,,,,,,,,,,,,,,,
2764,K,,,,,,,,,,,,,,,,
2765,H,,,,,,,,,,,,,,,,
2766,E,,,,,,,,,,,,,,,,
2767,C,,,,,,,,,,,,,,,,
2768,A,,,,,,,,,,,,,,,,
2769,Y,,,,,,,,,,,,,,,,
2770,S,,,,,,,,,,,,,,,,
2771,P,,,,,,,,,,,,,,,,
2772,L,,,,,,,,,,,,,,,,
2773,J,,,,,,,,,,,,,,,,
2774,G,,,,,,,,,,,,,,,,
2775,D,,,,,,,,,,,,,,,,
2776,B,,,,,,,,,,,,,,,,
2777,Z,,,,,,,,,,,,,,,,
2778,X,,,,,,,,,,,,,,,,
2779,T,,,,,,,,,,,,,,,,
2780,M,,,,,,,,,,,,,,,,
2781,K,,,,,,,,,,,,,,,,
2782,H,,,,,,,,,,,,,,,,
2783,E,,,,,,,,,,,,,,,,
2784,C,,,,,,,,,,,,,,,,
2785,A,,,,,,,,,,,,,,,,
2786,Y,,,,,,,,,,,,,,,,
2787,U,,,,,,,,,,,,,,,,
2788,S,,,,,,,,,,,,,,,,
2789,P,,,,,,,,,,,,,,,,
2790,J,,,,,,,,,,,,,,,,
2791,G,,,,,,,,,,,,,,,,
2792,D,,,,,,,,,,,,,,,,
2793,B,,,,,,,,,,,,,,,,
2794,Z,,,,,,,,,,,,,,,,
2795,X,,,,,,,,,,,,,,,,
2796,T,,,,,,,,,,,,,,,,
2797,R,,,,,,,,,,,,,,,,
2798,M,,,,,,,,,,,,,,,,
2799,K,,,,,,,,,,,,,,,,
2800,P,,,,,,,,,,,,,,,,
2801,L,,,,,,,,,,,,,,,,
2802,J,,,,,,,,,,,,,,,,
2803,G,,,,,,,,,,,,,,,,
2804,D,,,,,,,,,,,,,,,,
2805,B,,,,,,,,,,,,,,,,
2806,Z,Higer,KLQ6109Q,,,,,,,,,,,,,,
2807,X,,,,,,,,,,,,,,,,
2808,T,,,,,,,,,,,,,,,,
2809,R,,,,,,,,,,,,,,,,
2810,K,,,,,,,,,,,,,,,,
2811,H,,,,,,,,,,,,,,,,
2812,E,,,,,,,,,,,,,,,,
2813,C,,,,,,,,,,,,,,,,
2814,A,,,,,,,,,,,,,,,,
2815,Y,,,,,,,,,,,,,,,,
2816,U,,,,,,,,,,,,,,,,
2817,S,,,,,,,,,,,,,,,,
2818,P,,,,,,,,,,,,,,,,
2819,L,,,,,,,,,,,,,,,,
2820,G,,,,,,,,,,,,,,,,
2821,D,,,,,,,,,,,,,,,,
2822,B,,,,,,,,,,,,,,,,
2823,Z,,,,,,,,,,,,,,,,
2824,X,,,,,,,,,,,,,,,,
2825,T,,,,,,,,,,,,,,,,
2826,R,,,,,,,,,,,,,,,,
2827,M,,,,,,,,,,,,,,,,
2828,K,,,,,,,,,,,,,,,,
2829,H,,,,,,,,,,,,,,,,
2830,C,,,,,,,,,,,,,,,,
2831,A,,,,,,,,,,,,,,,,
2832,Y,,,,,,,,,,,,,,,,
2833,U,,,,,,,,,,,,,,,,
2834,S,,,,,,,,,,,,,,,,
2835,P,,,,,,,,,,,,,,,,
2836,L,,,,,,,,,,,,,,,,
2837,J,,,,,,,,,,,,,,,,
2838,G,,,,,,,,,,,,,,,,
2839,D,,,,,,,,,,,,,,,,
2840,Z,,,,,,,,,,,,,,,,
2841,X,,,,,,,,,,,,,,,,
2842,T,,,,,,,,,,,,,,,,
2843,R,,,,,,,,,,,,,,,,
2844,M,,,,,,,,,,,,,,,,
2845,K,,,,,,,,,,,,,,,,
2846,H,Mitsubishi,Fuso Rosa,Integral,,,,,,,,,,,,,
2847,E,,,,,,,,,,,,,,,,
2848,C,,,,,,,,,,,,,,,,
2849,A,,,,,,,,,,,,,,,,
2850,U,,,,,,,,,,,,,,,,
2851,S,,,,,,,,,,,,,,,,
2852,P,,,,,,,,,,,,,,,,
2853,L,,,,,,,,,,,,,,,,
2854,J,,,,,,,,,,,,,,,,
2855,G,,,,,,,,,,,,,,,,
2856,D,,,,,,,,,,,,,,,,
2857,B,,,,,,,,,,,,,,,,
2858,Z,,,,,,,,,,,,,,,,
2859,X,,,,,,,,,,,,,,,,
2860,R,,,,,,,,,,,,,,,,
2861,M,,,,,,,,,,,,,,,,
2862,K,,,,,,,,,,,,,,,,
2863,H,,,,,,,,,,,,,,,,
2864,E,,,,,,,,,,,,,,,,
2865,C,,,,,,,,,,,,,,,,
2866,A,,,,,,,,,,,,,,,,
2867,Y,,,,,,,,,,,,,,,,
2868,U,,,,,,,,,,,,,,,,
2869,S,,,,,,,,,,,,,,,,
2870,L,,,,,,,,,,,,,,,,
2871,J,,,,,,,,,,,,,,,,
2872,G,,,,,,,,,,,,,,,,
2873,D,,,,,,,,,,,,,,,,
2874,B,,,,,,,,,,,,,,,,
2875,Z,,,,,,,,,,,,,,,,
2876,X,,,,,,,,,,,,,,,,
2877,T,,,,,,,,,,,,,,,,
2878,R,,,,,,,,,,,,,,,,
2879,M,,,,,,,,,,,,,,,,
2880,H,,,,,,,,,,,,,,,,
2881,E,,,,,,,,,,,,,,,,
2882,C,,,,,,,,,,,,,,,,
2883,A,,,,,,,,,,,,,,,,
2884,Y,,,,,,,,,,,,,,,,
2885,U,,,,,,,,,,,,,,,,
2886,S,,,,,,,,,,,,,,,,
2887,P,,,,,,,,,,,,,,,,
2888,L,,,,,,,,,,,,,,,,
2889,J,,,,,,,,,,,,,,,,
2890,D,,,,,,,,,,,,,,,,
2891,B,,,,,,,,,,,,,,,,
2892,Z,,,,,,,,,,,,,,,,
2893,X,,,,,,,,,,,,,,,,
2894,T,,,,,,,,,,,,,,,,
2895,R,,,,,,,,,,,,,,,,
2896,M,,,,,,,,,,,,,,,,
2897,K,,,,,,,,,,,,,,,,
2898,H,,,,,,,,,,,,,,,,
2899,E,,,,,,,,,,,,,,,,
2900,J,,,,,,,,,,,,,,,,
2901,G,,,,,,,,,,,,,,,,
2902,D,,,,,,,,,,,,,,,,
2903,B,,,,,,,,,,,,,,,,
2904,Z,,,,,,,,,,,,,,,,
2905,X,,,,,,,,,,,,,,,,
2906,T,,,,,,,,,,,,,,,,
2907,R,,,,,,,,,,,,,,,,
2908,M,,,,,,,,,,,,,,,,
2909,K,,,,,,,,,,,,,,,,
2910,E,,,,,,,,,,,,,,,,
2911,C,,,,,,,,,,,,,,,,
2912,A,,,,,,,,,,,,,,,,
2913,Y,,,,,,,,,,,,,,,,
2914,U,,,,,,,,,,,,,,,,
2915,S,,,,,,,,,,,,,,,,
2916,P,,,,,,,,,,,,,,,,
2917,L,,,,,,,,,,,,,,,,
2918,J,,,,,,,,,,,,,,,,
2919,G,,,,,,,,,,,,,,,,
2920,B,,,,,,,,,,,,,,,,
2921,Z,,,,,,,,,,,,,,,,
2922,X,,,,,,,,,,,,,,,,
2923,T,,,,,,,,,,,,,,,,
2924,R,,,,,,,,,,,,,,,,
2925,M,,,,,,,,,,,,,,,,
2926,K,,,,,,,,,,,,,,,,
2927,H,,,,,,,,,,,,,,,,
2928,E,,,,,,,,,,,,,,,,
2929,C,,,,,,,,,,,,,,,,
2930,Y,,,,,,,,,,,,,,,,
2931,U,,,,,,,,,,,,,,,,
2932,S,,,,,,,,,,,,,,,,
2933,P,,,,,,,,,,,,,,,,
2934,L,,,,,,,,,,,,,,,,
2935,J,,,,,,,,,,,,,,,,
2936,G,,,,,,,,,,,,,,,,
2937,D,,,,,,,,,,,,,,,,
2938,B,,,,,,,,,,,,,,,,
2939,Z,,,,,,,,,,,,,,,,
2940,T,,,,,,,,,,,,,,,,
2941,R,,,,,,,,,,,,,,,,
2942,M,,,,,,,,,,,,,,,,
2943,K,,,,,,,,,,,,,,,,
2944,H,,,,,,,,,,,,,,,,
2945,E,,,,,,,,,,,,,,,,
2946,C,,,,,,,,,,,,,,,,
2947,A,,,,,,,,,,,,,,,,
2948,Y,,,,,,,,,,,,,,,,
2949,U,,,,,,,,,,,,,,,,
2950,P,,,,,,,,,,,,,,,,
2951,L,,,,,,,,,,,,,,,,
2952,J,,,,,,,,,,,,,,,,
2953,G,,,,,,,,,,,,,,,,
2954,D,,,,,,,,,,,,,,,,
2955,B,,,,,,,,,,,,,,,,
2956,Z,,,,,,,,,,,,,,,,
2957,X,,,,,,,,,,,,,,,,
2958,T,,,,,,,,,,,,,,,,
2959,R,,,,,,,,,,,,,,,,
2960,K,,,,,,,,,,,,,,,,
2961,H,,,,,,,,,,,,,,,,
2962,E,,,,,,,,,,,,,,,,
2963,C,,,,,,,,,,,,,,,,
2964,A,,,,,,,,,,,,,,,,
2965,Y,,,,,,,,,,,,,,,,
2966,U,,,,,,,,,,,,,,,,
2967,S,,,,,,,,,,,,,,,,
2968,P,,,,,,,,,,,,,,,,
2969,L,,,,,,,,,,,,,,,,
2970,G,,,,,,,,,,,,,,,,
2971,D,,,,,,,,,,,,,,,,
2972,B,,,,,,,,,,,,,,,,
2973,Z,,,,,,,,,,,,,,,,
2974,X,,,,,,,,,,,,,,,,
2975,T,,,,,,,,,,,,,,,,
2976,R,,,,,,,,,,,,,,,,
2977,M,,,,,,,,,,,,,,,,
2978,K,,,,,,,,,,,,,,,,
2979,H,,,,,,,,,,,,,,,,
2980,C,,,,,,,,,,,,,,,,
2981,A,,,,,,,,,,,,,,,,
2982,Y,,,,,,,,,,,,,,,,
2983,U,,,,,,,,,,,,,,,,
2984,S,,,,,,,,,,,,,,,,
2985,P,,,,,,,,,,,,,,,,
2986,L,,,,,,,,,,,,,,,,
2987,J,,,,,,,,,,,,,,,,
2988,G,,,,,,,,,,,,,,,,
2989,D,,,,,,,,,,,,,,,,
2990,Z,,,,,,,,,,,,,,,,
2991,X,,,,,,,,,,,,,,,,
2992,T,,,,,,,,,,,,,,,,
2993,R,,,,,,,,,,,,,,,,
2994,M,,,,,,,,,,,,,,,,
2995,K,,,,,,,,,,,,,,,,
2996,H,,,,,,,,,,,,,,,,
2997,E,,,,,,,,,,,,,,,,
2998,C,,,,,,,,,,,,,,,,
2999,A,,,,,,,,,,,,,,,,
3000,A,,,,,,,,,,,,,,,,
3001,Y,,,,,,,,,,,,,,,,
3002,U,,,,,,,,,,,,,,,,
3003,S,,,,,,,,,,,,,,,,
3004,P,,,,,,,,,,,,,,,,
3005,L,,,,,,,,,,,,,,,,
3006,J,,,,,,,,,,,,,,,,
3007,G,,,,,,,,,,,,,,,,
3008,D,,,,,,,,,,,,,,,,
3009,B,,,,,,,,,,,,,,,,
3010,X,,,,,,,,,,,,,,,,
3011,T,,,,,,,,,,,,,,,,
3012,R,,,,,,,,,,,,,,,,
3013,M,,,,,,,,,,,,,,,,
3014,K,,,,,,,,,,,,,,,,
3015,H,,,,,,,,,,,,,,,,
3016,E,,,,,,,,,,,,,,,,
3017,C,,,,,,,,,,,,,,,,
3018,A,,,,,,,,,,,,,,,,
3019,Y,,,,,,,,,,,,,,,,
3020,S,,,,,,,,,,,,,,,,
3021,P,,,,,,,,,,,,,,,,
3022,L,,,,,,,,,,,,,,,,
3023,J,,,,,,,,,,,,,,,,
3024,G,,,,,,,,,,,,,,,,
3025,D,,,,,,,,,,,,,,,,
3026,B,,,,,,,,,,,,,,,,
3027,Z,,,,,,,,,,,,,,,,
3028,X,,,,,,,,,,,,,,,,
3029,T,,,,,,,,,,,,,,,,
3030,M,,,,,,,,,,,,,,,,
3031,K,,,,,,,,,,,,,,,,
3032,H,,,,,,,,,,,,,,,,
3033,E,,,,,,,,,,,,,,,,
3034,C,,,,,,,,,,,,,,,,
3035,A,,,,,,,,,,,,,,,,
3036,Y,,,,,,,,,,,,,,,,
3037,U,,,,,,,,,,,,,,,,
3038,S,,,,,,,,,,,,,,,,
3039,P,,,,,,,,,,,,,,,,
3040,J,,,,,,,,,,,,,,,,
3041,G,,,,,,,,,,,,,,,,
3042,D,,,,,,,,,,,,,,,,
3043,B,,,,,,,,,,,,,,,,
3044,Z,,,,,,,,,,,,,,,,
3045,X,,,,,,,,,,,,,,,,
3046,T,,,,,,,,,,,,,,,,
3047,R,,,,,,,,,,,,,,,,
3048,M,,,,,,,,,,,,,,,,
3049,K,,,,,,,,,,,,,,,,
3050,E,,,,,,,,,,,,,,,,
3051,C,,,,,,,,,,,,,,,,
3052,A,,,,,,,,,,,,,,,,
3053,Y,,,,,,,,,,,,,,,,
3054,U,,,,,,,,,,,,,,,,
3055,S,,,,,,,,,,,,,,,,
3056,P,,,,,,,,,,,,,,,,
3057,L,,,,,,,,,,,,,,,,
3058,J,,,,,,,,,,,,,,,,
3059,G,,,,,,,,,,,,,,,,
3060,B,,,,,,,,,,,,,,,,
3061,Z,,,,,,,,,,,,,,,,
3062,X,,,,,,,,,,,,,,,,
3063,T,,,,,,,,,,,,,,,,
3064,R,,,,,,,,,,,,,,,,
3065,M,,,,,,,,,,,,,,,,
3066,K,,,,,,,,,,,,,,,,
3067,H,,,,,,,,,,,,,,,,
3068,E,,,,,,,,,,,,,,,,
3069,C,,,,,,,,,,,,,,,,
3070,Y,,,,,,,,,,,,,,,,
3071,U,,,,,,,,,,,,,,,,
3072,S,,,,,,,,,,,,,,,,
3073,P,,,,,,,,,,,,,,,,
3074,L,,,,,,,,,,,,,,,,
3075,J,,,,,,,,,,,,,,,,
3076,G,,,,,,,,,,,,,,,,
3077,D,,,,,,,,,,,,,,,,
3078,B,,,,,,,,,,,,,,,,
3079,Z,,,,,,,,,,,,,,,,
3080,T,,,,,,,,,,,,,,,,
3081,R,,,,,,,,,,,,,,,,
3082,M,,,,,,,,,,,,,,,,
3083,K,,,,,,,,,,,,,,,,
3084,H,,,,,,,,,,,,,,,,
3085,E,,,,,,,,,,,,,,,,
3086,C,,,,,,,,,,,,,,,,
3087,A,,,,,,,,,,,,,,,,
3088,Y,,,,,,,,,,,,,,,,
3089,U,,,,,,,,,,,,,,,,
3090,P,,,,,,,,,,,,,,,,
3091,L,,,,,,,,,,,,,,,,
3092,J,,,,,,,,,,,,,,,,
3093,G,,,,,,,,,,,,,,,,
3094,D,,,,,,,,,,,,,,,,
3095,B,,,,,,,,,,,,,,,,
3096,Z,,,,,,,,,,,,,,,,
3097,X,,,,,,,,,,,,,,,,
3098,T,,,,,,,,,,,,,,,,
3099,R,,,,,,,,,,,,,,,,
3100,U,,,,,,,,,,,,,,,,
3101,S,,,,,,,,,,,,,,,,
3102,P,,,,,,,,,,,,,,,,
3103,L,,,,,,,,,,,,,,,,
3104,J,,,,,,,,,,,,,,,,
3105,G,,,,,,,,,,,,,,,,
3106,D,,,,,,,,,,,,,,,,
3107,B,,,,,,,,,,,,,,,,
3108,Z,,,,,,,,,,,,,,,,
3109,X,,,,,,,,,,,,,,,,
3110,R,,,,,,,,,,,,,,,,
3111,M,,,,,,,,,,,,,,,,
3112,K,,,,,,,,,,,,,,,,
3113,H,,,,,,,,,,,,,,,,
3114,E,,,,,,,,,,,,,,,,
3115,C,,,,,,,,,,,,,,,,
3116,A,,,,,,,,,,,,,,,,
3117,Y,Mitsubishi,BE641JRMDEB,Mitsubishi,Strides Transportation,,,,AMDEP,Unknown,1,Mitsubishi Fuso Duonic 6-speed OD AMT,Mobitec MobiLED Compact,Mitsubishi,Mitsubishi,Mitsubishi,
3118,U,,,,,,,,,,,,,,,,
3119,S,,,,,,,,,,,,,,,,
3120,L,,,,,,,,,,,,,,,,
3121,J,,,,,,,,,,,,,,,,
3122,G,,,,,,,,,,,,,,,,
3123,D,,,,,,,,,,,,,,,,
3124,B,,,,,,,,,,,,,,,,
3125,Z,,,,,,,,,,,,,,,,
3126,X,,,,,,,,,,,,,,,,
3127,T,,,,,,,,,,,,,,,,
3128,R,,,,,,,,,,,,,,,,
3129,M,,,,,,,,,,,,,,,,
3130,H,,,,,,,,,,,,,,,,
3131,E,,,,,,,,,,,,,,,,
3132,C,,,,,,,,,,,,,,,,
3133,A,,,,,,,,,,,,,,,,
3134,Y,,,,,,,,,,,,,,,,
3135,U,,,,,,,,,,,,,,,,
3136,S,,,,,,,,,,,,,,,,
3137,P,,,,,,,,,,,,,,,,
3138,L,,,,,,,,,,,,,,,,
3139,J,Mitsubishi,BE641JRMDEB,Mitsubishi,Strides Transportation,,,,AMDEP,Unknown,1,Mitsubishi Fuso Duonic 6-speed OD AMT,Mobitec MobiLED Compact,Mitsubishi,Mitsubishi,Mitsubishi,
3140,D,,,,,,,,,,,,,,,,
3141,B,,,,,,,,,,,,,,,,
3142,Z,,,,,,,,,,,,,,,,
3143,X,,,,,,,,,,,,,,,,
3144,T,,,,,,,,,,,,,,,,
3145,R,,,,,,,,,,,,,,,,
3146,M,,,,,,,,,,,,,,,,
3147,K,,,,,,,,,,,,,,,,
3148,H,,,,,,,,,,,,,,,,
3149,E,,,,,,,,,,,,,,,,
3150,A,,,,,,,,,,,,,,,,
3151,Y,,,,,,,,,,,,,,,,
3152,U,,,,,,,,,,,,,,,,
3153,S,,,,,,,,,,,,,,,,
3154,P,,,,,,,,,,,,,,,,
3155,L,,,,,,,,,,,,,,,,
3156,J,,,,,,,,,,,,,,,,
3157,G,,,,,,,,,,,,,,,,
3158,D,,,,,,,,,,,,,,,,
3159,B,,,,,,,,,,,,,,,,
3160,X,,,,,,,,,,,,,,,,
3161,T,Mitsubishi,BE641JRMDEB,Mitsubishi,Strides Transportation,,,,AMDEP,Unknown,1,Mitsubishi Fuso Duonic 6-speed OD AMT,,Mitsubishi,Mitsubishi,Mitsubishi,
3162,R,,,,,,,,,,,,,,,,
3163,M,,,,,,,,,,,,,,,,
3164,K,,,,,,,,,,,,,,,,
3165,H,,,,,,,,,,,,,,,,
3166,E,,,,,,,,,,,,,,,,
3167,C,,,,,,,,,,,,,,,,
3168,A,,,,,,,,,,,,,,,,
3169,Y,,,,,,,,,,,,,,,,
3170,S,,,,,,,,,,,,,,,,
3171,P,,,,,,,,,,,,,,,,
3172,L,,,,,,,,,,,,,,,,
3173,J,,,,,,,,,,,,,,,,
3174,G,,,,,,,,,,,,,,,,
3175,D,,,,,,,,,,,,,,,,
3176,B,,,,,,,,,,,,,,,,
3177,Z,,,,,,,,,,,,,,,,
3178,X,,,,,,,,,,,,,,,,
3179,T,,,,,,,,,,,,,,,,
3180,M,,,,,,,,,,,,,,,,
3181,K,,,,,,,,,,,,,,,,
3182,H,,,,,,,,,,,,,,,,
3183,E,,,,,,,,,,,,,,,,
3184,C,,,,,,,,,,,,,,,,
3185,A,,,,,,,,,,,,,,,,
3186,Y,,,,,,,,,,,,,,,,
3187,U,,,,,,,,,,,,,,,,
3188,S,,,,,,,,,,,,,,,,
3189,P,,,,,,,,,,,,,,,,
3190,J,,,,,,,,,,,,,,,,
3191,G,,,,,,,,,,,,,,,,
3192,D,,,,,,,,,,,,,,,,
3193,B,,,,,,,,,,,,,,,,
3194,Z,,,,,,,,,,,,,,,,
3195,X,,,,,,,,,,,,,,,,
3196,T,,,,,,,,,,,,,,,,
3197,R,,,,,,,,,,,,,,,,
3198,M,,,,,,,,,,,,,,,,
3199,K,,,,,,,,,,,,,,,,
3200,P,,,,,,,,,,,,,,,,
3201,L,,,,,,,,,,,,,,,,
3202,J,,,,,,,,,,,,,,,,
3203,G,,,,,,,,,,,,,,,,
3204,D,,,,,,,,,,,,,,,,
3205,B,,,,,,,,,,,,,,,,
3206,Z,,,,,,,,,,,,,,,,
3207,X,,,,,,,,,,,,,,,,
3208,T,,,,,,,,,,,,,,,,
3209,R,,,,,,,,,,,,,,,,
3210,K,,,,,,,,,,,,,,,,
3211,H,,,,,,,,,,,,,,,,
3212,E,,,,,,,,,,,,,,,,
3213,C,,,,,,,,,,,,,,,,
3214,A,,,,,,,,,,,,,,,,
3215,Y,,,,,,,,,,,,,,,,
3216,U,,,,,,,,,,,,,,,,
3217,S,,,,,,,,,,,,,,,,
3218,P,,,,,,,,,,,,,,,,
3219,L,,,,,,,,,,,,,,,,
3220,G,,,,,,,,,,,,,,,,
3221,D,,,,,,,,,,,,,,,,
3222,B,,,,,,,,,,,,,,,,
3223,Z,,,,,,,,,,,,,,,,
3224,X,,,,,,,,,,,,,,,,
3225,T,,,,,,,,,,,,,,,,
3226,R,,,,,,,,,,,,,,,,
3227,M,,,,,,,,,,,,,,,,
3228,K,,,,,,,,,,,,,,,,
3229,H,,,,,,,,,,,,,,,,
3230,C,,,,,,,,,,,,,,,,
3231,A,,,,,,,,,,,,,,,,
3232,Y,,,,,,,,,,,,,,,,
3233,U,,,,,,,,,,,,,,,,
3234,S,,,,,,,,,,,,,,,,
3235,P,Mitsubishi,BE641JRMDEB,Mitsubishi,Strides Transportation,,,,AMDEP,Unknown,1,Mitsubishi Fuso Duonic 6-speed OD AMT,,Mitsubishi,Mitsubishi,Mitsubishi,
3236,L,,,,,,,,,,,,,,,,
3237,J,,,,,,,,,,,,,,,,
3238,G,,,,,,,,,,,,,,,,
3239,D,,,,,,,,,,,,,,,,
3240,Z,,,,,,,,,,,,,,,,
3241,X,,,,,,,,,,,,,,,,
3242,T,,,,,,,,,,,,,,,,
3243,R,,,,,,,,,,,,,,,,
3244,M,,,,,,,,,,,,,,,,
3245,K,,,,,,,,,,,,,,,,
3246,H,,,,,,,,,,,,,,,,
3247,E,,,,,,,,,,,,,,,,
